From "Advanced Computing in Electron Microscopy", Kirkland E.J., 2nd ed., 2010
Z,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3
17,0.944221116,0.437322049,0.254547926,0.240052374,9.30510439,9.30486346,0.0547763323,0.800087488,0.0107488641,0.168655688,2.97849774,0.0684240646
18,1.06983288,0.424631786,0.243897949,0.287791022,12.4156957,12.4158868,0.0479446296,0.764958952,0.0082312843,0.136979796,2.43940729,0.0527258749
19,0.692717865,0.965161085,0.148466588,7.1084999,0.357532901,0.0393763275,0.0264645027,1.80883768,0.543900018,0.103591321,32.2845199,1.67791374
20,0.366902871,0.866378999,0.6672033,0.0614274129,0.570881727,7.82965639,0.487743636,1.82406314,0.0220248453,1.32531318,21.0056032,0.091185345
21,0.378871777,0.900022505,0.715288914,0.0698910162,0.521061541,7.8770792,0.0188640973,0.407945949,1.6178654,0.0817512708,1.11141388,18.0840759
22,0.362383267,0.984232966,0.741715642,0.0754707114,0.497757309,8.17659391,0.362555269,1.4915939,0.0161659509,0.955524906,16.2221677,0.0733140839
23,0.352961378,0.746791014,1.08364068,0.0819204103,8.81189511,0.510646075,1.3901361,0.331273356,0.0140422612,14.8901841,0.838543079,0.0657432678
24,1.34348379,0.507040328,0.426358955,1.25814353,11.5042811,0.0853660389,0.0117241826,0.511966516,0.338285828,0.0600177061,1.53772451,0.662418319
25,0.326697613,0.717297,1.33212464,0.0888813083,11.1300198,0.582141104,0.280801702,1.15499241,0.0111984488,0.671583145,12.6825395,0.0532334467
26,0.313454847,0.689290016,1.47141531,0.0899325756,13.0366038,0.633345291,1.03298688,0.258280285,0.010346069,11.6783425,0.609116446,0.0481610627
27,0.315878278,1.60139005,0.656394338,0.0946683246,0.699436449,15.6954403,0.936746624,0.0097756265,0.238378578,10.939241,0.0437446816,0.556286483
28,1.7225463,0.329543044,0.6230072,0.776606908,0.10226236,19.4156207,0.0094349651,0.854063515,0.221073515,0.0398684596,10.4078166,0.51086933
29,0.358774531,1.76181348,0.636905053,0.106153463,1.01640995,15.3659093,0.0074493067,0.189002347,0.229619589,0.0385345989,0.39842779,0.901419843
30,0.570893973,1.98908856,0.306060585,0.126534614,2.17781965,37.8619003,0.235600223,0.397061102,0.0068565723,0.367019041,0.866419596,0.0335778823
31,0.625528464,2.05302901,0.28960812,0.11000565,2.41095786,47.8685736,0.207910594,0.345079617,0.006556343,0.327807224,0.743139061,0.0309411369
32,0.59095269,0.53998066,2.00626188,0.118375976,71.8937433,1.39304889,0.749705041,0.183581347,0.0095219074,6.8994335,0.364667232,0.026988865
33,0.777875218,0.59384815,1.95918751,0.150733157,142.882209,1.74750339,0.179880226,0.863267222,0.0095905343,0.331800852,5.85490274,0.0233777569
34,0.958390681,0.603851342,1.90828931,0.183775557,196.819224,2.15082053,0.173885956,0.935265145,0.0086225466,0.300006024,4.92471215,0.0212308108
35,1.1413617,0.518118737,1.85731975,0.21870871,193.916682,2.65755396,0.168217399,0.975705606,0.0072418787,0.271719918,4.194825,0.0199325718
36,0.32438697,1.31732163,1.79912614,63.1317973,0.254706036,3.23668394,0.0042996143,1.00429433,0.162188197,0.019896561,3.61094513,0.245583672
37,0.290445351,2.44201329,0.769435449,0.0368420227,1.16013332,16.9591472,1.58687,0.0028161759,0.12866383,2.53082574,0.0188577417,0.210753969
38,0.0137373086,1.97548672,1.59261029,0.0187469061,6.3607923,0.221992482,0.173263882,4.66280378,0.0016126506,0.201624958,25.3027803,0.0153610568
39,0.675302747,0.47028672,2.63497677,0.0654331847,106.108709,2.0664354,0.109621746,0.960348773,0.0052892156,0.193131925,1.63310938,0.0166083821
40,2.64365505,0.554225147,0.761376625,2.20202699,178.260107,0.0767218745,0.0060294689,0.099163053,0.95678202,0.0155143296,0.176175995,1.54330682
41,0.659532875,1.84545854,1.25584405,0.086614549,5.94774398,0.640851475,0.122253422,0.706638328,0.0026238159,0.16664605,1.62853268,0.0082625786
42,0.61016012,1.26544,1.97428762,0.0911628054,0.506776025,5.89590381,0.648028962,0.0026038082,0.113887493,1.46634108,0.0078433631,0.15511434
43,0.855189183,1.66219641,1.45575475,0.102962151,7.64907,1.01639987,0.105445664,0.771657112,0.0022099264,0.142303338,1.34659349,0.0079035898
44,0.470847093,1.58180781,2.02419818,0.0933029874,0.452831347,7.11489023,0.0019703626,0.626912639,0.10264132,0.007561816,1.25399858,0.133786087
45,0.420051553,1.76266507,2.02735641,0.0938882628,0.464441687,8.19346046,0.0014548718,0.6228096,0.0991529915,0.0078270452,1.17194153,0.124532839
46,2.10475155,2.03884487,0.182067264,8.6860647,0.378924449,0.142921634,0.0952040948,0.591445248,0.0011332868,0.1171259,1.07843808,0.0078025209
47,2.0798139,0.443170726,1.96515215,9.92540297,0.104920104,0.640103839,0.596130591,0.478016333,0.094645847,0.88959479,1.98509407,0.112744464
48,1.63657549,2.17927989,0.77130069,12.4540381,1.4513466,0.126695757,0.66419388,0.764563285,0.0861126689,0.777659202,1.6607521,0.105728357
49,2.24820632,1.64706864,0.788679265,1.51913507,13.0113424,0.106128184,0.0812579069,0.668280346,0.638467475,0.099404562,1.49742063,0.718422635
50,2.1664462,0.688691021,1.92431751,11.3174909,0.110131285,0.674464853,0.565359888,0.918683861,0.0780542213,0.73356461,10.2310312,0.0931104308
51,1.73662114,0.99987138,2.13972409,0.884334719,0.138462121,11.9666432,0.560566526,0.993772747,0.0737374982,0.67267288,8.72330411,0.0878577715
52,2.09383882,1.56940519,1.30941993,12.6856869,1.21236537,0.166633292,0.0698067804,1.04969537,0.555594354,0.0830817576,7.43147857,0.617487676
53,1.60186925,1.98510264,1.482262,0.195031538,13.6976183,1.80304795,0.553807199,1.11728722,0.0660720847,0.56791234,6.40879878,0.0786615429
54,1.60015487,1.71644581,1.84968351,2.92913354,15.588299,0.222525983,0.0623813648,1.21387555,0.554051946,0.0745581223,5.56013271,0.521994521
55,2.95236854,0.428105721,1.89599233,6.01461952,46.4151246,0.180109756,0.0548012938,4.708386,0.590356719,0.0712799633,45.6702799,0.47023631
56,3.19434243,1.98289586,0.155121052,9.27352241,0.228741632,0.0382000231,0.0673222354,4.48474211,0.542674414,0.0730961745,29.5703565,0.408647015
57,2.05036425,0.142114311,3.23538151,0.220348417,0.0396438056,9.56979169,0.0634683429,3.97960586,0.520116711,0.0692443091,25.3178406,0.383614098
58,3.22990759,0.157618307,2.13477838,9.94660135,0.0415378676,0.240480572,0.501907609,3.8088901,0.0596625028,0.366252019,24.3275968,0.0659653503
59,0.158189324,3.18141995,2.2762214,0.0391309056,10.4139545,0.281671757,3.97705472,0.0558448277,0.485207954,26.1872978,0.0630921695,0.354234369
60,0.181379417,3.17616396,2.35221519,0.0437324793,10.7842572,0.305571833,3.83125763,0.0525889976,0.470090742,25.4745408,0.0602676073,0.339017003
61,0.192986811,2.43756023,3.17248504,0.043778597,0.329336996,11.1259996,3.58105414,0.456529394,0.0494812177,24.6709586,0.324990282,0.05765531
62,0.212002595,3.16891754,2.51503494,0.0457703608,11.4536599,0.355561054,0.444080845,3.36742101,0.0465652543,0.311953363,24.0291435,0.0552266819
63,2.59355002,3.16557522,0.229402652,0.382452612,11.7675155,0.0476642249,0.43225778,3.1726192,0.0437958317,0.299719833,23.4462738,0.052944068
64,3.19144939,2.55766431,0.332681934,12.0224655,0.408338876,0.0585819814,0.041424313,2.61036728,0.420526863,0.0506771477,19.9344244,0.28568624
65,0.259407462,3.16177855,2.75095751,0.0504689354,12.3140183,0.438337626,2.79247686,0.0385931001,0.410881708,22.3797309,0.0487920992,0.277622892
66,3.16055396,2.82751709,0.275140255,12.5470414,0.467899094,0.0523226982,0.40096716,2.63110834,0.0361333817,0.267614884,21.9498166,0.0468871497
67,0.288642467,2.90567296,3.15960159,0.0540507687,0.497581077,12.7599505,0.391280259,2.48596038,0.0337664478,0.258151831,21.5400972,0.0450664323
68,3.15573213,0.31151956,2.97722406,12.9729009,0.0581399387,0.531213394,0.381563854,2.40247532,0.0315224214,0.249195776,21.3627616,0.0433253257
69,3.1559197,0.32254471,3.05569053,13.1232407,0.0597223323,0.561876773,0.02928451,0.372487205,2.27833695,0.0416534255,0.240821967,21.0034185
70,3.10794704,3.14091221,0.375660454,0.606347847,13.3705269,0.072981474,0.361901097,2.45409082,0.027238399,0.232652051,21.2695209,0.0399969597
71,3.11446863,0.539634353,3.06460915,13.8968881,0.0891708508,0.679919563,0.0258563745,2.13983556,0.347788231,0.0382808522,18.0078788,0.222706591
72,3.01166899,3.16284788,0.633421771,0.710401889,13.8262192,0.0948486572,0.341417198,1.53566013,0.0240723773,0.214129678,15.5298698,0.036783369
73,3.20236821,0.830098413,2.86552297,13.8446369,0.118381581,0.766369118,0.0224813887,1.40165263,0.333740596,0.0352934622,14.6148877,0.205704486
74,0.924906855,2.75554557,3.3044006,0.128663377,0.765826479,13.447117,0.329973862,1.09916444,0.0206498883,0.198218895,13.5087534,0.0338918459
75,1.96952105,1.21726619,4.10391685,49.883062,0.133243809,1.84396916,0.0290791978,0.230696669,0.608840299,0.0284192813,0.190968784,1.37090356
76,2.06385867,1.29603406,3.96920673,40.5671697,0.146559047,1.82561596,0.0269835487,0.231083999,0.630466774,0.0284172045,0.179765184,1.38911543
77,2.21522726,1.37573155,3.78244405,32.446409,0.160920048,1.78756553,0.024464324,0.236932016,0.648471412,0.0282909938,0.170692368,1.3792839
78,0.98469794,2.73987079,3.61696715,0.160910839,0.718971667,12.9281016,0.302885602,0.278370726,0.0152124129,0.170134854,1.49862703,0.0283510822
79,0.961263398,3.6958103,2.77567491,0.170932277,12.9335319,0.68999707,0.295414176,0.311475743,0.0143237267,0.16352551,1.39200901,0.0271265337
80,1.29200491,2.75161478,3.49387949,0.183432865,0.942368371,14.6235654,0.277304636,0.43023281,0.0148294351,0.155110144,1.2887167,0.0261903834
81,3.7596473,3.21195904,0.647767825,13.5041513,0.666330993,0.0922518234,0.276123274,0.31883881,0.0131668419,0.150312897,1.12565588,0.0248879842
82,1.00795975,3.09796153,3.61296864,0.117268427,0.880453235,14.7325812,0.262401476,0.405621995,0.0131812509,0.143491014,1.04103506,0.0239575415
83,1.59826875,4.38233925,2.06074719,0.156897471,2.47094692,57.2438972,0.194426023,0.822704978,0.0233226953,0.132979109,0.956532528,0.0223038435
84,1.71463223,2.1411596,4.37512413,97.9262841,0.210193717,3.66948812,0.021621668,0.197843837,0.65204792,0.0198456144,0.133758807,0.780432104
85,1.48047794,2.0917463,4.75246033,125.943919,0.183803008,4.19890596,0.0185643958,0.205859375,0.713540948,0.0181383503,0.133035404,0.703031938
86,0.630022295,3.80962881,3.89756067,0.140909762,30.851554,0.651559763,0.2407551,2.62868577,0.0314285931,0.108899672,6.42383261,0.0242346699
87,5.23288135,2.48604205,0.323431354,8.60599536,0.304543982,0.0387759096,0.255403596,0.553607228,0.0057527889,0.128717724,0.536977452,0.012941779
88,1.44192685,3.55291725,3.91259586,0.118740873,1.0173975,63.1814783,0.216173519,3.94191605,0.0460422605,0.0955806441,35.0602732,0.0220850385
89,1.45864127,4.18945405,3.65866182,0.107760494,88.9090649,1.05088931,0.208479229,3.16528117,0.0523892556,0.0909335557,31.3297788,0.0208807697
90,1.19014064,2.55380607,4.68110181,0.0773468729,0.659693681,12.8013896,0.226121303,0.358250545,0.0078226395,0.108632194,0.456765664,0.0162623474
91,4.68537504,2.98413708,0.891988061,14.4503632,0.556438592,0.0669512914,0.224825384,0.304444846,0.0094816271,0.103235396,0.427255647,0.0177730611
92,4.63343606,3.18157056,0.876455075,16.3377267,0.569517868,0.0688860012,0.221685477,0.2729171,0.0111737298,0.098425455,0.409470917,0.018621541
93,4.56773888,3.40325179,0.861841923,19.0992795,0.590099634,0.0703204851,0.21972887,0.238176903,0.0138306499,0.093633428,0.393554882,0.0194437286
94,5.45671123,0.111687906,3.30260343,10.189272,0.0398131313,0.314622212,0.184568319,0.493644263,3.57484743,0.10422086,0.46308054,21.9369542
95,5.38321999,0.123343236,3.4646909,10.7289857,0.0415137806,0.339326208,0.175437132,3.39800073,0.469459519,0.0998932346,21.1601535,0.45199697
96,5.38402377,3.49861264,0.188039547,11.1211419,0.35675021,0.0539853583,0.169143137,3.19595016,0.464393059,0.0960082633,18.0694389,0.436318197
97,3.66090688,0.203054678,5.30697515,0.384420906,0.0548547131,11.7150262,0.160934046,3.04808401,0.443610295,0.0921020329,17.3525367,0.427132359
98,3.9415039,5.16915345,0.161941074,0.418246722,12.5201788,0.0481540117,0.415299561,2.91761325,0.151474927,0.424913856,19.0899693,0.0881568925
99,4.09780623,5.10079393,0.174617289,0.446021145,13.1768613,0.0502742829,2.76774658,0.144496639,0.402772109,18.4815393,0.0846232592,0.4176401
100,4.2493482,5.03556594,0.188920613,0.475263933,13.8570834,0.0526975158,0.394356058,2.612131,0.138001927,0.411193751,17.8537905,0.0812774434
101,0.200942931,4.40119869,4.97250102,0.0548366518,0.504248434,14.5721366,2.47530599,0.386883197,0.131936095,17.2978308,0.405043898,0.0780821071
102,0.216052899,4.91106799,4.5486287,0.0583584058,15.3264212,0.53443476,2.36114249,0.126277292,0.381364501,16.8164803,0.0750304633,0.399305852
103,4.86738014,0.319974401,4.58872425,16.032052,0.0670871138,0.577039373,0.121482448,2.31639872,0.379258137,0.0722275899,14.1279737,0.389973484
